# name	gender
# -a male exceptions are mandatory (PLAN.md §5.3). Common Polish and English names.
Barnaba	male
Kuba	male
Bonawentura	male
Kosma	male
Jarema	male
Anna	female
Maria	female
Ewa	female
Zofia	female
Katarzyna	female
Joanna	female
Magdalena	female
Agnieszka	female
Marta	female
Natalia	female
Helena	female
Hanna	female
Julia	female
Jan	male
Piotr	male
Andrzej	male
Tomasz	male
Paweł	male
Marek	male
Michał	male
Adam	male
Łukasz	male
Wojciech	male
Jakub	male
Antoni	male
John	male
James	male
William	male
Michael	male
David	male
Mary	female
Elizabeth	female
Sarah	female
Emily	female
Emma	female
